rank,fhrsid,business_name,postcode,category,category_source,is_food,confidence,confidence_margin,fsa_tier_score,google_tier_score,online_tier_score,ops_tier_score,menu_tier_score,reputation_tier_score,rcs_final,rcs_band,convergence,quality_score,digital_presence_score,signals_available,signals_total,observed_signals,inferred_signals,provenance_ratio,sentiment_score,red_flag_count,red_flags,companies_house_status
114,1552333,Costa Coffee,CV37 8LU,Cafe / Coffee Shop,google_types,True,Low,0.8,8.836,6.114,,10.0,,,8.196,Excellent,mild_divergence(avg_div=0.260),6.945,3.333,17,40,11,6,0.65,0.57,0,,not_checked
115,1695937,Impasto Micro-Pizzeria,CV37 6QY,Italian Restaurant,google_types,True,Medium,0.5,7.749,9.191,,10.0,3.333,,8.177,Excellent,converged(avg_div=0.000),7.646,3.333,16,40,10,6,0.62,0.95,0,,not_checked
116,503444,Crowne Plaza,CV37 6YR,Hotel / Accommodation,google_types,True,Low,0.8,8.094,9.214,,,,,8.177,Excellent,neutral(avg_div=0.140),8.745,3.333,15,40,10,5,0.67,0.95,0,,not_checked
117,503960,Blue Bean Coffee Shop,CV36 4AF,Cafe / Coffee Shop,google_types,True,Low,0.8,7.122,7.915,,10.0,,,8.166,Excellent,converged(avg_div=0.060),6.982,3.333,16,40,11,5,0.69,0.7,0,,not_checked
118,503292,Wildwood Kitchen,CV37 6EF,Italian Restaurant,google_types,True,Medium,0.5,6.639,8.869,,10.0,10.0,,8.159,Excellent,converged(avg_div=0.060),8.445,3.333,19,40,11,8,0.58,0.85,0,,not_checked
119,1739370,Corte Campana,CV37 6EX,Italian Restaurant,google_types,True,Medium,0.5,7.625,9.425,,10.0,3.333,,8.156,Excellent,converged(avg_div=0.060),7.489,3.333,15,40,10,5,0.67,0.9,0,,not_checked
120,1747700,The Still House Café,CV36 5EX,Italian Restaurant,google_types,True,Medium,0.5,7.942,8.464,,10.0,3.333,,8.134,Excellent,converged(avg_div=0.060),7.444,3.333,15,40,10,5,0.67,0.85,0,,not_checked
121,1246463,The Avon Lounge,CV37 6LP,Pub / Bar,google_types,True,Low,0.8,7.851,6.925,,10.0,,,8.098,Excellent,neutral(avg_div=0.160),5.517,3.333,17,40,10,7,0.59,0.17,2,disgusting; dirty,not_checked
122,1835033,The Cottage Of Content,B50 4NP,Pub / Bar,google_types,True,Low,0.8,6.433,9.09,,10.0,,,8.06,Excellent,converged(avg_div=0.060),8.644,3.333,15,40,11,4,0.73,0.95,0,,not_checked
123,676561,The Embankment,CV37 7LS,Hotel / Accommodation,google_types,True,Low,0.8,6.325,9.309,,10.0,,,8.051,Excellent,converged(avg_div=0.060),7.942,3.333,16,40,10,6,0.62,0.75,0,,not_checked
124,502681,Billesley Manor Hotel,B49 6NF,Hotel / Accommodation,google_types,True,Low,0.8,7.72,9.624,,,,,8.042,Excellent,neutral(avg_div=0.160),9.24,3.333,15,40,10,5,0.67,1.0,0,,not_checked
125,676556,The Straw Kitchen,CV36 5PG,Cafe / Coffee Shop,google_types,True,Medium,0.5,7.577,8.793,,10.0,3.333,,7.996,Good,converged(avg_div=0.020),7.246,3.333,17,40,11,6,0.65,0.95,0,,not_checked
126,1739369,Paul's Catering,CV37,Food & Drink,google_types,True,Low,0.8,7.712,6.797,,10.0,,,7.984,Good,converged(avg_div=0.000),7.904,1.667,12,40,9,3,0.75,0.6,0,,not_checked
127,503552,Premier Inn,CV37 0AZ,Hotel / Accommodation,google_types,True,Low,0.8,7.964,8.832,,,,,7.977,Good,neutral(avg_div=0.140),7.563,3.333,14,40,10,4,0.71,0.6,0,,not_checked
128,503345,KFC - Southbound,CV35 0AA,American / Grill,google_types,True,Medium,0.5,8.627,7.306,,10.0,6.667,,7.95,Good,diverged(avg_div=0.340),6.913,3.333,19,40,11,8,0.58,0.45,1,disgusting,not_checked
129,1284339,The Yew Tree,CV47 2AS,Pub / Bar,google_types,True,Low,0.8,6.55,9.291,,10.0,,,7.936,Good,neutral(avg_div=0.140),8.85,3.333,17,40,11,6,0.65,1.0,0,,not_checked
130,1584576,Libertine Burger,CV37 6JP,American / Grill,google_types,True,Medium,0.5,7.446,8.329,,10.0,6.667,,7.926,Good,neutral(avg_div=0.120),7.549,3.333,18,40,10,8,0.56,0.8,0,,not_checked
131,1622078,Sushi Land,CV37 6NF,Japanese Restaurant,google_types,True,Medium,0.5,7.33,9.094,,10.0,3.333,,7.919,Good,converged(avg_div=0.080),7.666,3.333,16,40,10,6,0.62,1.0,0,,not_checked
132,1176874,The Garden Shed Cafe,CV35 9NZ,Cafe / Coffee Shop,google_types,True,Low,0.8,6.565,8.957,,10.0,,,7.866,Good,neutral(avg_div=0.120),8.315,3.333,17,40,11,6,0.65,0.95,0,,not_checked
133,503735,Costa,CV37 0HZ,Cafe / Coffee Shop,google_types,True,Low,0.8,9.672,7.45,,10.0,,,7.839,Good,neutral(avg_div=0.180),6.174,3.333,16,40,11,5,0.69,0.15,3,dirty; filthy,not_checked
134,1754520,Cinnamon Arch,CV47 9QJ,Indian Restaurant,google_types,True,Medium,0.5,7.288,8.687,,10.0,3.333,,7.811,Good,converged(avg_div=0.060),7.155,3.333,18,40,10,8,0.56,0.8,0,,not_checked
135,1029137,The Buck And Bell,CV47 9PH,Pub / Bar,google_types,True,Low,0.8,6.101,8.625,,10.0,,,7.76,Good,converged(avg_div=0.100),7.94,3.333,17,40,11,6,0.65,0.85,0,,not_checked
136,503711,Arden Tandoori,B95 5AU,Indian Restaurant,google_types,True,Medium,0.5,7.504,7.813,,10.0,3.333,,7.751,Good,converged(avg_div=0.080),6.026,3.333,19,40,11,8,0.58,0.59,0,,not_checked
137,502877,DoubleTree By Hilton,CV37 6QQ,Hotel / Accommodation,google_types,True,Low,0.8,7.267,9.445,,,,,7.682,Good,neutral(avg_div=0.140),8.845,3.333,16,40,10,6,0.62,1.0,1,inedible,not_checked
138,1705603,Escape Arts,CV37 6EE,Other,unclassified,True,Low,0.8,7.505,5.857,,10.0,,,7.651,Good,converged(avg_div=0.000),7.668,3.333,13,40,10,3,0.77,0.55,0,,not_checked
139,1291215,Gardener's Retreat,B80 7DR,Restaurant (General),google_types,True,Low,0.8,8.355,5.507,,10.0,,,7.641,Good,diverged(avg_div=0.300),5.974,3.333,17,40,10,7,0.59,0.39,1,disgusting,not_checked
140,1381156,Pick Thai Ltd,CV37 6HB,Thai Restaurant,google_types,True,Low,0.8,8.308,9.173,,,3.333,,7.603,Good,converged(avg_div=0.080),7.91,3.333,15,40,10,5,0.67,1.0,0,,not_checked
141,1093181,Coffee#1 Limited,CV37 6EY,Cafe / Coffee Shop,google_types,True,Low,0.8,7.551,8.494,,,,,7.599,Good,neutral(avg_div=0.160),7.617,3.333,16,40,11,5,0.69,0.62,0,,not_checked
142,1884822,WINGERS STRATFORD,CV37 0BF,American / Grill,google_types,True,Medium,0.5,6.917,8.575,,10.0,3.333,,7.577,Good,converged(avg_div=0.080),7.371,3.333,18,40,10,8,0.56,0.95,0,,not_checked
143,1563336,Chopstix South,CV35 0AA,Asian Restaurant,google_types,True,Low,0.8,7.859,6.386,,10.0,,,7.577,Good,diverged(avg_div=0.380),6.853,3.333,14,40,10,4,0.71,0.65,0,,not_checked
144,1421981,Peppers,B80 7HN,Indian Restaurant,google_types,True,Medium,0.5,7.243,8.696,,10.0,3.333,,7.56,Good,neutral(avg_div=0.120),7.644,3.333,16,40,11,5,0.69,1.0,0,,not_checked
145,1552322,Costa Coffee,CV37 6PT,Cafe / Coffee Shop,google_types,True,Low,0.8,8.905,5.991,,,,,7.555,Good,mild_divergence(avg_div=0.240),4.924,3.333,14,40,11,3,0.79,0.37,1,rude staff,not_checked
146,1690228,Compton Verney Cafe,CV35 9HZ,Restaurant (General),google_types,True,Low,0.8,7.795,8.0,,10.0,,,7.487,Good,insufficient_sources,7.795,1.667,8,40,7,1,0.88,,0,,not_checked
147,1291217,Gardener's Retreat,CV35 9ER,Restaurant (General),google_types,True,Low,0.8,7.083,7.102,,10.0,,,7.485,Good,mild_divergence(avg_div=0.220),7.394,3.333,16,40,10,6,0.62,0.6,0,,not_checked
148,1411434,Earlswood Lunch Club,B94 6BZ,Catering,name_match,True,Low,0.8,7.752,7.533,,,,,7.455,Good,neutral(avg_div=0.140),7.751,3.333,12,40,10,2,0.83,0.55,0,,not_checked
149,1354963,The Tea Shed,CV47 8LT,Cafe / Coffee Shop,google_types,True,Low,0.8,7.192,7.828,,,,,7.376,Good,converged(avg_div=0.040),8.731,3.333,14,40,10,4,0.71,0.9,0,,not_checked
150,503261,Thespians Indian Restaurant,CV37 6EF,Indian Restaurant,google_types,True,Medium,0.5,6.748,8.034,,10.0,3.333,,7.368,Good,converged(avg_div=0.000),6.339,3.333,17,40,11,6,0.65,0.92,0,,not_checked
151,1799220,Burger King,CV37 0HZ,Restaurant (General),google_types,True,Low,0.8,7.506,5.479,,10.0,,,7.342,Good,mild_divergence(avg_div=0.260),3.635,3.333,15,40,10,5,0.67,0.34,0,,not_checked
152,1253300,The Keys,CV37 6LW,Pub / Bar,google_types,True,Low,0.8,6.829,8.407,,,,,7.296,Good,converged(avg_div=0.040),7.776,3.333,13,40,11,2,0.85,0.65,0,,not_checked
153,1513917,The Water Margin @ The Hollybush,CV47 7RW,Takeaway,google_types,True,Low,0.8,6.272,6.146,,10.0,,,7.258,Good,converged(avg_div=0.060),3.224,3.333,14,40,10,4,0.71,0.14,2,inedible; disgusting,not_checked
154,1589295,The Tempest,CV37 6EX,Italian Restaurant,google_types,True,Medium,0.5,6.624,8.828,,10.0,3.333,,7.246,Good,neutral(avg_div=0.140),7.114,3.333,15,40,10,5,0.67,0.85,0,,not_checked
155,503342,Burger King - Northbound,CV35 0AA,American / Grill,google_types,True,Medium,0.5,9.038,4.417,,10.0,6.667,,7.227,Good,diverged(avg_div=0.600),4.816,3.333,18,40,11,7,0.61,0.12,2,avoid this; disgusting,not_checked
156,1024960,Starbucks Drive Thru,CV35 0AA,Fast Food / Quick Service,google_types,True,Low,0.8,9.795,5.893,,10.0,,,7.207,Good,diverged(avg_div=0.320),4.392,3.333,18,40,11,7,0.61,0.0,4,closed down; rude staff; disgusting; filthy,not_checked
157,1747706,The Long Itch Diner,CV47 9QZ,Fast Food / Quick Service,google_types,True,Medium,0.5,6.165,8.821,,10.0,3.333,,7.203,Good,converged(avg_div=0.080),6.374,3.333,19,40,11,8,0.58,0.6,0,,not_checked
158,503401,Shukurs,CV35 0HP,Indian Restaurant,google_types,True,Medium,0.5,6.338,9.383,,10.0,3.333,,7.202,Good,neutral(avg_div=0.140),7.418,3.333,18,40,11,7,0.61,1.0,0,,not_checked
159,503089,Touchdown Cafe,CV35 9EU,Cafe / Coffee Shop,google_types,True,Medium,0.5,6.297,8.956,,10.0,3.333,,7.093,Good,neutral(avg_div=0.120),6.658,3.333,16,40,11,5,0.69,0.7,0,,not_checked
160,1266889,Turkish Stonebakers,CV35 9NE,Mediterranean Restaurant,google_types,True,Medium,0.5,6.069,9.458,,10.0,3.333,,7.069,Good,neutral(avg_div=0.160),7.351,3.333,16,40,10,6,0.62,1.0,0,,not_checked
161,503821,The Balti Hut,CV47 0HA,Indian Restaurant,google_types,True,Medium,0.5,6.534,6.896,,10.0,3.333,,7.009,Good,converged(avg_div=0.020),4.554,3.333,19,40,10,9,0.53,0.19,2,undercooked; disgusting,not_checked
162,1622072,Hudson's,CV37 9ST,Cafe / Coffee Shop,google_types,True,Low,0.8,5.475,8.559,,10.0,,,6.959,Good,mild_divergence(avg_div=0.280),7.783,3.333,15,40,10,5,0.67,0.9,0,,not_checked
163,1838726,The Cowshed Cafe,B95 6BY,Cafe / Coffee Shop,google_types,True,Low,0.8,5.27,9.0,,10.0,,,6.949,Good,mild_divergence(avg_div=0.240),8.257,3.333,17,40,11,6,0.65,0.95,0,,not_checked
164,503555,Dog Lane Fishery Caravanning And Camping Site,CV47 8LT,Hotel / Accommodation,google_types,True,Low,0.8,6.8,8.487,,10.0,,,6.904,Good,converged(avg_div=0.080),7.089,3.333,14,40,10,4,0.71,0.6,0,,not_checked
165,503148,Nuthurst Grange Country House,B94 5NL,Hotel / Accommodation,google_types,True,Low,0.8,5.18,9.575,,10.0,,,6.887,Good,diverged(avg_div=0.320),8.227,3.333,16,40,10,6,0.62,0.95,0,,not_checked
166,736236,JNB Cafe,CV37 0ER,Cafe / Coffee Shop,name_match,True,Low,0.8,7.358,7.041,,10.0,,,6.876,Good,converged(avg_div=0.080),5.313,3.333,16,40,10,6,0.62,0.35,3,disgusting; dirty; filthy,not_checked
167,1871632,Sorrento Restaurant Taste Of Italy,CV37 6LW,Italian Restaurant,google_types,True,Medium,0.5,5.529,8.253,,10.0,10.0,,6.826,Good,diverged(avg_div=0.300),7.732,3.333,17,40,11,6,0.65,0.87,0,,not_checked
168,1695933,Hobsons Patisseries,CV37 6PT,Cafe / Coffee Shop,google_types,True,Low,0.8,4.922,8.988,,10.0,,,6.761,Good,mild_divergence(avg_div=0.260),7.207,3.333,16,40,11,5,0.69,0.67,0,,not_checked
169,504050,Bishops Bowls Lake Cafe,CV47 2SR,Cafe / Coffee Shop,name_match,True,Low,0.8,5.212,8.729,,10.0,,,6.716,Good,diverged(avg_div=0.320),7.265,3.333,17,40,10,7,0.59,0.7,0,,not_checked
170,503319,Shipston Pizza And Kebab House,CV36 4AL,Fast Food / Quick Service,google_types,True,Low,0.8,5.443,7.41,,10.0,,,6.681,Good,mild_divergence(avg_div=0.220),6.048,3.333,15,40,10,5,0.67,0.4,1,inedible,not_checked
171,1790270,Bardia's,CV37 6EE,Other,unclassified,True,Low,0.8,5.137,8.612,,10.0,,,6.65,Good,diverged(avg_div=0.300),6.046,3.333,14,40,10,4,0.71,0.55,0,,not_checked
172,503218,Burger King - Southbound,CV35 0AA,American / Grill,google_types,True,Medium,0.5,7.728,4.417,,10.0,6.667,,6.577,Good,diverged(avg_div=0.600),4.489,3.333,18,40,11,7,0.61,0.12,2,avoid this; disgusting,not_checked
173,1421980,Tzatziki34,CV37 6AB,Mediterranean Restaurant,google_types,True,Low,0.8,6.782,8.347,,,3.333,,6.546,Good,converged(avg_div=0.020),6.347,3.333,15,40,10,5,0.67,0.67,0,,not_checked
174,1826837,Cafe Chutneys,CV37 0AX,Indian Restaurant,google_types,True,Medium,0.5,5.441,8.941,,10.0,3.333,,6.42,Generally Satisfactory,mild_divergence(avg_div=0.240),7.118,3.333,18,40,11,7,0.61,0.97,0,,not_checked
175,503343,Starbucks -  Southbound,CV35 0AA,Fast Food / Quick Service,google_types,True,Low,0.8,7.773,5.893,,10.0,,,6.309,Generally Satisfactory,diverged(avg_div=0.320),3.718,3.333,18,40,11,7,0.61,0.0,4,closed down; rude staff; disgusting; filthy,not_checked
176,503715,Cafe Living,CV37 0HZ,Cafe / Coffee Shop,google_types,True,Low,0.8,4.899,6.951,,10.0,,,6.286,Generally Satisfactory,mild_divergence(avg_div=0.240),3.916,3.333,16,40,11,5,0.69,0.27,1,disgusting,not_checked
177,565220,Four Teas,CV37 6EF,Cafe / Coffee Shop,google_types,True,Medium,0.5,5.252,9.375,,10.0,3.333,,6.273,Generally Satisfactory,diverged(avg_div=0.300),7.031,3.333,18,40,11,7,0.61,1.0,0,,not_checked
178,502962,Curry Republic,B95 5AA,Indian Restaurant,google_types,True,Medium,0.5,5.059,7.97,,10.0,6.667,,6.214,Generally Satisfactory,diverged(avg_div=0.300),6.607,3.333,18,40,11,7,0.61,0.47,1,hair in,not_checked
179,1495078,Four Seasons Pho Limited,CV37 6LF,Asian Restaurant,google_types,True,Medium,0.5,7.093,7.823,,10.0,3.333,,6.205,Generally Satisfactory,neutral(avg_div=0.140),5.744,3.333,16,40,10,6,0.62,0.45,3,inedible; avoid this; disgusting,not_checked
180,1266904,Good Breakfast,CV35 0AA,Cafe / Coffee Shop,google_types,True,Medium,0.5,7.809,5.004,,10.0,3.333,,6.089,Generally Satisfactory,diverged(avg_div=0.620),5.098,3.333,16,40,10,6,0.62,0.55,0,,not_checked
181,650308,New Summer Palace Restaurant,B80 7DF,Chinese Restaurant,google_types,True,Medium,0.5,4.645,8.899,,10.0,3.333,,5.987,Generally Satisfactory,mild_divergence(avg_div=0.200),6.745,3.333,17,40,11,6,0.65,0.9,0,,not_checked
182,1826838,Mouchak,B50 4BG,Indian Restaurant,google_types,True,Medium,0.5,4.847,7.856,,10.0,3.333,,5.768,Generally Satisfactory,diverged(avg_div=0.340),6.795,3.333,14,40,10,4,0.71,0.9,0,,not_checked
183,1800190,CAMEO Lunch Club,,Catering,name_match,True,Low,0.8,5.375,6.496,,,,,5.373,Generally Satisfactory,mild_divergence(avg_div=0.240),5.438,3.333,10,40,10,0,1.0,0.55,0,,not_checked
184,503114,Mount Everest Nepalese Cuisine,B80 7NL,Restaurant (General),google_types,True,Low,0.8,3.54,8.408,,10.0,,,4.0,Improvement Necessary,diverged(avg_div=0.500),6.34,3.333,17,40,11,6,0.65,0.67,0,,not_checked
185,502970,China Garden,CV37 6NL,Chinese Restaurant,google_types,True,Medium,0.5,3.986,7.079,,10.0,3.333,,4.0,Improvement Necessary,mild_divergence(avg_div=0.260),5.163,3.333,16,40,11,5,0.69,0.7,1,worst experience,not_checked
186,503216,Welcombe Hotel Golf Resort \& Spa,CV37 0NR,Hotel / Accommodation,google_types,True,Low,0.8,3.973,8.974,,10.0,,,4.0,Improvement Necessary,diverged(avg_div=0.400),7.198,3.333,16,40,10,6,0.62,0.92,1,dirty,not_checked
187,1452414,Subway,CV37 0HZ,Fast Food / Quick Service,google_types,True,Low,0.8,4.43,6.962,,10.0,,,4.0,Improvement Necessary,diverged(avg_div=0.340),4.932,3.333,16,40,11,5,0.69,0.4,1,hair in,not_checked
188,1912631,Shipston Bengal Cuisine,CV36 4PP,Indian Restaurant,google_types,True,Low,0.8,,8.111,,10.0,3.333,,2.663,Major Improvement,insufficient_sources,6.719,3.333,12,40,7,5,0.58,0.8,0,,not_checked
189,979161,Karen's Korner,B80 7PD,Cafe / Coffee Shop,google_types,True,Low,0.8,2.527,8.512,,,3.333,,1.94,Urgent Improvement,diverged(avg_div=0.740),5.965,3.333,17,40,11,6,0.65,0.8,0,,not_checked
190,1800192,Havilands Tea Room And Restaurant,CV37 6QB,Cafe / Coffee Shop,google_types,True,Low,0.8,1.613,5.971,,,3.333,,1.94,Urgent Improvement,diverged(avg_div=0.580),2.482,3.333,16,40,10,6,0.62,0.24,2,avoid this; dirty,not_checked
191,1911092,Coughton Court Cafe,B49 5JA,Cafe / Coffee Shop,google_types,True,Low,0.8,,7.724,,,,,1.758,Urgent Improvement,insufficient_sources,8.75,3.333,8,40,6,2,0.75,0.75,0,,not_checked
,1622074,Lexi's Loving Spoonful,CV47 2QZ,Other,unclassified,True,Insufficient,1.5,8.088,10.0,,,,,7.795,Insufficient Data,insufficient_sources,8.088,0.0,6,40,6,0,1.0,,0,,not_checked
,1774610,Digby's Events,CV47,Other,unclassified,True,Insufficient,1.5,8.706,,,,,,7.443,Insufficient Data,insufficient_sources,8.706,0.0,5,40,5,0,1.0,,0,,not_checked
,503270,Kings Court Hotel,B49 5QQ,Hotel / Accommodation,name_match,True,Insufficient,1.5,8.343,7.5,,,,,7.281,Insufficient Data,insufficient_sources,8.343,1.667,7,40,7,0,1.0,,0,,not_checked
,1765854,The Roebuck Inn Alcester,B49 5QA,Pub / Bar,name_match,True,Insufficient,1.5,6.889,10.0,,,,,7.04,Insufficient Data,insufficient_sources,6.889,0.0,3,40,3,0,1.0,,0,,not_checked
,1622082,The Crofts Cafe Also Trading As New York Pizzas,CV37 6PH,American / Grill,google_types,True,Insufficient,1.5,7.689,10.0,,,3.333,,6.738,Insufficient Data,insufficient_sources,5.511,0.0,7,40,6,1,0.86,,0,,not_checked
,1721314,Aston Martin Lagonda,CV35 0DB,Other,unclassified,False,Low,0.8,9.321,9.099,,10.0,,,9.698,Not Ranked,converged(avg_div=0.080),8.94,3.333,13,40,10,3,0.77,0.75,0,,not_checked
,1584574,Stratford On Avon Golf Club,CV37 7BA,Other,unclassified,False,Low,0.8,8.294,8.648,,10.0,,,9.007,Not Ranked,converged(avg_div=0.080),8.931,3.333,14,40,10,4,0.71,0.85,0,,not_checked
,1896718,Birmingham City Football Club Ltd,B95 6AB,Other,unclassified,False,Low,0.8,9.604,7.185,,,,,8.87,Not Ranked,converged(avg_div=0.020),8.701,3.333,12,40,10,2,0.83,0.65,0,,not_checked
,503141,NFU Mutual,CV37 7BJ,Other,unclassified,False,Low,0.8,8.694,6.255,,10.0,,,8.657,Not Ranked,converged(avg_div=0.100),4.876,3.333,14,40,10,4,0.71,0.35,1,disgusting,not_checked
,503565,A G D Equipment Ltd,CV37 9LQ,Other,unclassified,False,Low,0.8,8.402,6.743,,10.0,,,8.609,Not Ranked,converged(avg_div=0.020),6.245,3.333,14,40,10,4,0.71,0.55,0,,not_checked
,1131857,Stratford Town FC,CV37 7BZ,Other,unclassified,False,Low,0.8,7.693,8.258,,10.0,,,8.323,Not Ranked,neutral(avg_div=0.140),7.564,3.333,13,40,10,3,0.77,0.5,0,,not_checked
,503585,Redwings Horse Sanctuary,CV35 0RP,Other,unclassified,False,Low,0.8,7.835,9.42,,,,,8.303,Not Ranked,converged(avg_div=0.060),8.778,3.333,13,40,10,3,0.77,0.85,0,,not_checked
,1781021,Stratford Upon Avon Baptist Church,CV37 6UA,Other,unclassified,False,Low,0.8,8.685,7.013,,,,,8.175,Not Ranked,converged(avg_div=0.080),8.228,3.333,13,40,10,3,0.77,0.6,0,,not_checked
,1453409,Bidford Juniors Football Club,,Other,unclassified,False,Low,0.8,8.983,5.581,,,,,7.723,Not Ranked,neutral(avg_div=0.160),7.242,3.333,10,40,10,0,1.0,0.55,0,,not_checked
,1155879,Mid-England Barrow Ltd,OX17,Other,unclassified,False,Low,0.8,8.007,7.134,,10.0,,,6.992,Not Ranked,converged(avg_div=0.000),8.169,3.333,14,40,10,4,0.71,0.65,0,,not_checked
,1927834,Golden Putter Stratford Upon,CV37 7LS,Other,unclassified,False,Low,0.8,,8.218,,10.0,,,3.331,Not Ranked,insufficient_sources,8.25,3.333,8,40,6,2,0.75,0.65,0,,not_checked
,1927833,Slimming World,CV35 0FA,Other,unclassified,False,Low,0.8,,8.001,,10.0,,,3.308,Not Ranked,insufficient_sources,6.912,3.333,10,40,6,4,0.6,0.7,0,,not_checked
