rank,fhrsid,business_name,postcode,category,category_source,is_food,confidence,confidence_margin,fsa_tier_score,google_tier_score,online_tier_score,ops_tier_score,menu_tier_score,reputation_tier_score,rcs_final,rcs_band,convergence,quality_score,digital_presence_score,signals_available,signals_total,observed_signals,inferred_signals,provenance_ratio,sentiment_score,red_flag_count,red_flags,companies_house_status
35,1089841,Cotswold Distillery Cafe,CV36 5HG,Cafe / Coffee Shop,name_match,True,Low,0.8,7.942,9.85,,10.0,,,9.098,Excellent,converged(avg_div=0.020),9.047,3.333,15,40,10,5,0.67,0.92,0,,not_checked
36,1871630,LeBuns,CV35 0JS,Pub / Bar,google_types,True,Low,0.8,8.903,8.697,,10.0,,,9.092,Excellent,neutral(avg_div=0.160),8.801,3.333,17,40,11,6,0.65,0.75,0,,not_checked
37,1485802,Kitty's Kitchen Catering Ltd,CV37 7AY,Catering,name_match,True,Low,0.8,8.339,8.865,,10.0,,,9.085,Excellent,converged(avg_div=0.080),9.18,3.333,14,40,10,4,0.71,0.92,0,,not_checked
38,1796547,Feel Good Crystals,CV36 5LE,Cafe / Coffee Shop,google_types,True,Low,0.8,8.72,7.924,,10.0,,,9.074,Excellent,converged(avg_div=0.020),7.44,3.333,14,40,10,4,0.71,0.82,0,,not_checked
39,1381141,The Bull's Head,B95 6BD,Pub / Bar,google_types,True,Low,0.8,8.38,8.627,,10.0,,,9.051,Excellent,converged(avg_div=0.080),7.518,3.333,16,40,11,5,0.69,0.49,0,,not_checked
40,1756585,Annie's Cafe & Event Catering,B49 5QF,Cafe / Coffee Shop,name_match,True,Low,0.8,8.522,8.291,,10.0,,,9.051,Excellent,converged(avg_div=0.100),8.174,3.333,14,40,10,4,0.71,0.6,0,,not_checked
41,1019047,Miller And Carter,CV37 6EX,American / Grill,google_types,True,Low,0.8,7.946,9.633,,10.0,,,9.048,Excellent,converged(avg_div=0.040),9.315,3.333,17,40,11,6,0.65,1.0,0,,not_checked
42,503734,Premier Inn,CV37 6UQ,Hotel / Accommodation,google_types,True,Low,0.8,9.236,9.432,,,,,9.016,Excellent,neutral(avg_div=0.180),9.479,3.333,15,40,10,5,0.67,0.92,0,,not_checked
43,1297845,Lounge@26,B49 5AB,Cafe / Coffee Shop,google_types,True,Low,0.8,8.495,8.195,,10.0,,,9.012,Excellent,converged(avg_div=0.100),8.165,3.333,15,40,11,4,0.73,0.6,0,,not_checked
44,1826834,Ferment And Flour (Bastardos),CV36 4PP,Cafe / Coffee Shop,google_types,True,Low,0.8,9.031,7.977,,10.0,,,8.994,Excellent,neutral(avg_div=0.180),9.417,3.333,16,40,10,6,0.62,1.0,0,,not_checked
45,1796548,The Kingfisher FishBar,CV37 6LW,Fast Food / Quick Service,google_types,True,Low,0.8,8.283,8.599,,10.0,,,8.989,Excellent,converged(avg_div=0.100),8.381,3.333,18,40,11,7,0.61,0.75,1,avoid this,not_checked
46,1467814,Stratford Adventure Golf,CV37 7LS,Other,unclassified,True,Low,0.8,8.431,8.218,,10.0,,,8.982,Excellent,converged(avg_div=0.100),8.31,3.333,13,40,10,3,0.77,0.65,0,,not_checked
47,1754519,Nanas Caff,CV37 9NQ,Cafe / Coffee Shop,google_types,True,Low,0.8,8.545,7.898,,10.0,,,8.969,Excellent,converged(avg_div=0.000),8.348,3.333,16,40,10,6,0.62,0.65,0,,not_checked
48,503481,The Opposition,CV37 6EF,French Restaurant,google_types,True,Low,0.8,8.126,8.851,,10.0,,,8.961,Excellent,converged(avg_div=0.040),8.015,3.333,17,40,11,6,0.65,0.67,0,,not_checked
49,1747703,GAIL's Stratford-Upon-Avon,CV37 6AU,Fast Food / Quick Service,google_types,True,Low,0.8,8.574,8.905,,10.0,,,8.959,Excellent,neutral(avg_div=0.160),9.358,3.333,16,40,10,6,0.62,0.95,0,,not_checked
50,1826833,Revs Automobilia,GL56 9RE,Cafe / Coffee Shop,google_types,True,Low,0.8,8.143,8.767,,10.0,,,8.951,Excellent,converged(avg_div=0.060),8.214,3.333,16,40,10,6,0.62,0.65,0,,not_checked
51,1774612,International Circus Churros 2,CV37 0RN,Bakery / Desserts,google_types,True,Low,0.8,8.343,8.248,,10.0,,,8.939,Excellent,converged(avg_div=0.080),6.859,3.333,14,40,10,4,0.71,0.5,0,,not_checked
52,503584,Cardamom,B49 5DP,Indian Restaurant,google_types,True,Medium,0.5,8.535,9.042,,10.0,6.667,,8.93,Excellent,converged(avg_div=0.080),8.675,3.333,17,40,11,6,0.65,0.95,0,,not_checked
53,1577024,Puddleduck Cafe Ltd,CV47 1AJ,Cafe / Coffee Shop,google_types,True,Low,0.8,8.983,8.813,,,,,8.923,Excellent,converged(avg_div=0.020),9.328,3.333,13,40,10,3,0.77,0.9,0,,not_checked
54,1774608,NO4 Bar And Restaurant,CV37 6YY,Restaurant (General),google_types,True,Low,0.8,7.825,9.249,,10.0,,,8.887,Excellent,converged(avg_div=0.060),9.275,3.333,15,40,10,5,0.67,1.0,0,,not_checked
55,503926,Harbury Library Cafe,CV33 9HW,Cafe / Coffee Shop,google_types,True,Low,0.8,8.049,8.643,,10.0,,,8.868,Excellent,converged(avg_div=0.000),9.183,3.333,15,40,10,5,0.67,0.95,0,,not_checked
56,503240,Henley Ice Cream Limited,B95 5BS,Cafe / Coffee Shop,google_types,True,Low,0.8,7.763,9.139,,10.0,,,8.825,Excellent,converged(avg_div=0.060),8.321,3.333,17,40,11,6,0.65,0.72,0,,not_checked
57,1388307,Chrissie's Kitchen,CV35,Takeaway,google_types,True,Low,0.8,8.331,8.825,,10.0,,,8.799,Excellent,converged(avg_div=0.000),8.944,3.333,14,40,10,4,0.71,0.85,0,,not_checked
58,1474392,The Pavilion Coffee Shop And Community Space,CV37 8YE,Cafe / Coffee Shop,google_types,True,Low,0.8,8.363,7.597,,10.0,,,8.793,Excellent,converged(avg_div=0.060),8.504,3.333,15,40,10,5,0.67,0.8,0,,not_checked
59,1804017,Cafe 86B,B95 5BY,Cafe / Coffee Shop,google_types,True,Low,0.8,8.08,8.224,,10.0,,,8.784,Excellent,converged(avg_div=0.040),8.647,3.333,16,40,10,6,0.62,1.0,0,,not_checked
60,1662496,Coffee Clouds,CV37 6GJ,Cafe / Coffee Shop,google_types,True,Low,0.8,7.926,8.579,,10.0,,,8.782,Excellent,converged(avg_div=0.080),8.435,3.333,17,40,11,6,0.65,0.92,0,,not_checked
61,503525,Shah's,CV35 9LU,Indian Restaurant,google_types,True,Medium,0.5,8.354,8.815,,10.0,6.667,,8.78,Excellent,converged(avg_div=0.060),8.262,3.333,17,40,11,6,0.65,0.92,0,,not_checked
62,1500965,Cafe Des Fleurs,B49 5AE,Pub / Bar,google_types,True,Medium,0.5,8.39,8.684,,10.0,6.667,,8.773,Excellent,converged(avg_div=0.100),8.064,3.333,18,40,11,7,0.61,0.72,0,,not_checked
63,1556368,Prospero Lounge,CV37 6AD,British Restaurant,google_types,True,Medium,0.5,8.165,8.92,,10.0,10.0,,8.771,Excellent,neutral(avg_div=0.120),8.716,3.333,17,40,11,6,0.65,0.67,0,,not_checked
64,1364372,The Bell Inn,CV37 8EB,Pub / Bar,google_types,True,Low,0.8,7.594,9.289,,10.0,,,8.765,Excellent,converged(avg_div=0.080),8.431,3.333,17,40,11,6,0.65,0.77,0,,not_checked
65,1802818,11/17 Salt Beef Bar,CV37 6GJ,Restaurant (General),google_types,True,Low,0.8,9.031,8.111,,,,,8.747,Excellent,converged(avg_div=0.040),8.055,3.333,13,40,10,3,0.77,0.77,0,,not_checked
66,503316,Lambs,CV37 6EF,British Restaurant,google_types,True,Medium,0.5,8.647,9.447,,10.0,3.333,,8.74,Excellent,converged(avg_div=0.060),7.745,3.333,17,40,11,6,0.65,0.9,0,,not_checked
67,1808716,Fast Flavour,CV37 6AB,Takeaway,google_types,True,Low,0.8,8.555,7.901,,10.0,,,8.714,Excellent,neutral(avg_div=0.180),7.578,3.333,17,40,10,7,0.59,0.52,1,food poisoning,not_checked
68,502864,Hussains,CV37 6EP,Indian Restaurant,google_types,True,Medium,0.5,8.286,8.298,,10.0,10.0,,8.711,Excellent,neutral(avg_div=0.160),8.396,3.333,18,40,11,7,0.61,0.62,0,,not_checked
69,1622070,Carluccio's,CV37 6BA,Italian Restaurant,google_types,True,Medium,0.5,8.575,8.987,,10.0,6.667,,8.681,Excellent,neutral(avg_div=0.160),8.56,3.333,17,40,11,6,0.65,0.9,0,,not_checked
70,502863,Hotel Indigo And The Woodsman,CV37 6HA,Hotel / Accommodation,google_types,True,Low,0.8,8.272,9.595,,,,,8.661,Excellent,converged(avg_div=0.060),9.197,3.333,15,40,10,5,0.67,1.0,0,,not_checked
71,1796553,Mr Odie's,CV37 6QT,Cafe / Coffee Shop,google_types,True,Low,0.8,7.583,8.87,,10.0,,,8.658,Excellent,converged(avg_div=0.000),8.528,3.333,15,40,10,5,0.67,0.8,0,,not_checked
72,1339997,The Margin,CV47 9PZ,Cafe / Coffee Shop,google_types,True,Low,0.8,7.498,9.044,,10.0,,,8.652,Excellent,converged(avg_div=0.060),8.899,3.333,15,40,10,5,0.67,0.92,0,,not_checked
73,1317981,Kolshi Restaurant,CV35 9ND,Indian Restaurant,google_types,True,Medium,0.5,8.336,9.818,,10.0,3.333,,8.641,Excellent,converged(avg_div=0.040),7.917,3.333,17,40,10,7,0.59,1.0,0,,not_checked
74,1206079,Building 523 Costa And Kitchen,CV35 0RR,Cafe / Coffee Shop,name_match,True,Low,0.8,8.395,9.189,,,,,8.625,Excellent,converged(avg_div=0.060),8.465,3.333,12,40,10,2,0.83,0.7,0,,not_checked
75,1206081,South Costa,CV35 0RR,Cafe / Coffee Shop,name_match,True,Low,0.8,8.395,9.189,,,,,8.625,Excellent,converged(avg_div=0.060),8.465,3.333,12,40,10,2,0.83,0.7,0,,not_checked
76,502702,Bannatyne Health Club And Spa Wildmoor,CV37 9RJ,Restaurant (General),google_types,True,Low,0.8,8.199,8.326,,10.0,,,8.617,Excellent,neutral(avg_div=0.140),7.994,3.333,17,40,10,7,0.59,0.89,0,,not_checked
77,503554,The Bridge,B50 4BG,Restaurant (General),google_types,True,Low,0.8,7.54,8.74,,10.0,,,8.602,Excellent,converged(avg_div=0.100),8.724,3.333,18,40,11,7,0.61,1.0,0,,not_checked
78,503286,George's Cafe,B50 4JF,Cafe / Coffee Shop,google_types,True,Low,0.8,7.668,8.365,,10.0,,,8.584,Excellent,converged(avg_div=0.060),8.481,3.333,16,40,11,5,0.69,0.85,0,,not_checked
79,503105,Avon Spice,CV37 6LF,Indian Restaurant,google_types,True,Medium,0.5,8.846,8.136,,10.0,3.333,,8.578,Excellent,converged(avg_div=0.100),6.63,3.333,18,40,11,7,0.61,0.57,0,,not_checked
80,1014807,McDonald's,CV37 0AH,American / Grill,google_types,True,Medium,0.5,9.099,6.746,,10.0,10.0,,8.578,Excellent,mild_divergence(avg_div=0.240),6.95,3.333,18,40,11,7,0.61,0.5,0,,not_checked
