fhrsid,business_name,category,postcode,v3_rank,v3_final,v3_band,v3_confidence,v4_final,v4_class,v4_rankable,v4_league_eligible,delta,v4_trust,v4_customer,v4_commercial,v4_platforms,v4_reviews,v3_sentiment,v3_red_flags,v3_google_tier,v4_penalties,v4_caps,primary_reason,reason_tags
1381156,Pick Thai Ltd,Thai Restaurant,CV37 6HB,101,8.398,Excellent,Low,8.52,Rankable-B,True,True,0.122,8.695,8.705,7.5,google,176,,0,8.674,,,missing_source_discipline,missing_source_discipline
1774608,NO4 Bar And Restaurant,Restaurant (General),CV37 6YY,58,8.778,Excellent,Low,8.659,Rankable-B,True,True,-0.119,8.799,8.92,7.5,google,184,,0,8.78,,,missing_source_discipline,missing_source_discipline
1622070,Carluccio's,Italian Restaurant,CV37 6BA,78,8.613,Excellent,Low,8.494,Rankable-B,True,True,-0.119,9.382,8.036,7.5,google,516,,0,8.615,,,missing_source_discipline,missing_source_discipline
1556368,Prospero Lounge,British Restaurant,CV37 6AD,59,8.777,Excellent,Low,8.661,Rankable-B,True,True,-0.116,9.274,8.502,7.5,google,711,,0,8.93,,,missing_source_discipline,missing_source_discipline
1500965,Cafe Des Fleurs,Pub / Bar,B49 5AE,67,8.713,Excellent,Low,8.602,Rankable-B,True,True,-0.111,9.081,8.544,7.5,google,206,,0,8.35,,,missing_source_discipline,missing_source_discipline
503584,Cardamom,Indian Restaurant,B49 5DP,50,8.868,Excellent,Low,8.76,Rankable-B,True,True,-0.108,9.122,8.859,7.5,google,344,,0,8.693,,,missing_source_discipline,missing_source_discipline
504050,Bishops Bowls Lake Cafe,Cafe / Coffee Shop,CV47 2SR,176,6.681,Good,Low,6.578,Rankable-B,True,True,-0.103,5.784,8.642,2.5,google,144,,0,8.558,,,missing_source_discipline,missing_source_discipline
1774606,Bumbles,Italian Restaurant,B80 7AN,34,9.089,Excellent,Low,8.996,Rankable-B,True,True,-0.093,9.281,9.242,7.5,google,275,,0,9.092,,,missing_source_discipline,missing_source_discipline
1339997,The Margin,Takeaway,CV47 9PZ,119,8.143,Excellent,Low,8.05,Rankable-B,True,True,-0.093,8.456,7.872,7.5,google,73,,0,7.924,,,missing_source_discipline,missing_source_discipline
1552322,Costa Coffee,Cafe / Coffee Shop,CV37 6PT,129,7.992,Good,Low,7.907,Rankable-B,True,True,-0.085,9.727,7.258,5.0,google,95,,0,7.506,,,missing_source_discipline,missing_source_discipline
503286,George's Cafe,Cafe / Coffee Shop,B50 4JF,88,8.5,Excellent,Low,8.578,Rankable-B,True,True,0.078,8.755,8.779,7.5,google,124,,0,8.001,,,missing_source_discipline,missing_source_discipline
1354963,The Tea Shed,Cafe / Coffee Shop,CV47 8LT,166,7.049,Good,Low,7.126,Rankable-B,True,True,0.077,8.366,7.565,2.5,google,13,,0,6.725,,,shrinkage_low_counts,missing_source_discipline|shrinkage_low_counts
503918,Southam Gateway Coffee Shop Ltd,Cafe / Coffee Shop,CV47 0EP,74,8.64,Excellent,Low,8.716,Rankable-B,True,True,0.076,9.223,8.672,7.5,google,97,,0,7.872,,,missing_source_discipline,missing_source_discipline
1388303,Lily's,Restaurant (General),CV37 6LU,97,8.434,Excellent,Low,8.506,Rankable-B,True,True,0.072,8.397,8.938,7.5,google,116,,0,8.593,,,missing_source_discipline,missing_source_discipline
503105,Avon Spice,Indian Restaurant,CV37 6LF,76,8.634,Excellent,Low,8.69,Rankable-B,True,True,0.056,9.208,8.627,7.5,google,312,,0,8.341,,,missing_source_discipline,missing_source_discipline
1796553,Mr Odie's,Cafe / Coffee Shop,CV37 6QT,79,8.599,Excellent,Low,8.639,Rankable-B,True,True,0.04,8.481,9.159,7.5,google,89,,0,8.599,,,missing_source_discipline,missing_source_discipline
503552,Premier Inn,Hotel / Accommodation,CV37 0AZ,118,8.157,Excellent,Low,8.181,Rankable-B,True,True,0.024,9.221,8.316,5.0,google,1687,,0,9.44,,,missing_source_discipline,missing_source_discipline
503781,The Bishops Fryer,Takeaway,CV47 2RN,73,8.674,Excellent,Low,8.654,Rankable-B,True,True,-0.02,9.629,8.172,7.5,google,253,,0,7.813,,,missing_source_discipline,missing_source_discipline
503554,The Bridge,Restaurant (General),B50 4BG,84,8.565,Excellent,Low,8.546,Rankable-B,True,True,-0.019,8.845,8.629,7.5,google,315,,0,8.574,,,missing_source_discipline,missing_source_discipline
503240,Henley Ice Cream Limited,Cafe / Coffee Shop,B95 5BS,54,8.82,Excellent,Low,8.836,Rankable-B,True,True,0.016,8.907,9.219,7.5,google,1160,,0,9.1,,,missing_source_discipline,missing_source_discipline
503261,Thespians Indian Restaurant,Indian Restaurant,CV37 6EF,151,7.48,Good,Low,7.475,Rankable-B,True,True,-0.005,7.319,7.606,7.5,google,581,,0,8.532,,,missing_source_discipline,missing_source_discipline
