id,fhrsid,name,rcs_v4_final,base_score,adjusted_score,confidence_class,coverage_status,rankable,league_table_eligible,companies_house,penalties,caps
503105,503105,Avon Spice,9.063,9.063,9.063,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1789006,1789006,The Pickled Crab Deli,9.299,9.299,9.299,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503148,503148,Nuthurst Grange Country House,7.827,7.827,7.827,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1421981,1421981,Peppers,8.57,8.57,8.57,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503286,503286,George's Cafe,8.953,8.953,8.953,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1552333,1552333,Costa Coffee,8.367,8.367,8.367,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1485802,1485802,Kitty's Kitchen Catering Ltd,7.786,7.786,7.786,Rankable-B,coverage-ready,True,True,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=778, r=5""}]"
1495078,1495078,Four Seasons Pho Limited,7.942,7.942,7.942,Rankable-B,coverage-ready,True,True,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=771, r=5""}]"
503240,503240,Henley Ice Cream Limited,9.21,9.21,9.21,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1912631,1912631,Shipston Bengal Cuisine,5.031,5.031,5.031,Rankable-B,coverage-partial,True,True,unmatched,[],[]
1253300,1253300,The Keys,7.155,7.155,7.155,Rankable-B,coverage-ready,True,True,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=792, r=4""}]"
503270,503270,Kings Court Hotel,3.727,3.727,3.727,Directional-C,coverage-partial,False,False,unmatched,[],[]
1799220,1799220,Burger King,7.63,7.63,7.63,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1344517,1344517,The Fox Inn,7.434,7.434,7.434,Rankable-B,coverage-partial,True,True,unmatched,[],[]
1781021,1781021,Stratford Upon Avon Baptist Church,7.943,7.943,7.943,Rankable-B,coverage-partial,True,True,unmatched,[],[]
503401,503401,Shukurs,8.484,8.484,8.484,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503854,503854,The Lime Tree Restaurant,8.786,8.786,8.786,Rankable-B,coverage-ready,True,True,unmatched,[],[]
979161,979161,Karen's Korner,5.835,5.835,5.835,Rankable-B,coverage-ready,True,False,unmatched,[],[]
676561,676561,The Embankment,7.672,7.672,7.672,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1747702,1747702,Beleza Rodizio,9.553,9.553,9.553,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1397584,1397584,The Bluebell,9.019,9.019,9.019,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1838726,1838726,The Cowshed Cafe,7.477,7.477,7.477,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503555,503555,Dog Lane Fishery Caravanning And Camping Site,7.101,7.101,7.101,Rankable-B,coverage-ready,True,False,unmatched,[],"[{""code"": ""STALE-5Y"", ""effect"": ""TrustCompliance cap 5.0"", ""reason"": ""days_since_rd=4063""}]"
503089,503089,Touchdown Cafe,8.455,8.455,8.455,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1765854,1765854,The Roebuck Inn Alcester,0.0,1.5,1.5,Profile-only-D,coverage-partial,False,False,unmatched,[],[]
1808716,1808716,Fast Flavour,8.246,8.246,8.246,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1804017,1804017,Cafe 86B,8.454,8.454,8.454,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1577024,1577024,Puddleduck Cafe Ltd,8.643,8.643,8.643,Rankable-B,coverage-ready,True,False,unmatched,[],[]
1796548,1796548,The Kingfisher FishBar,9.118,9.118,9.118,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1854461,1854461,The Red Lion,9.407,9.407,9.407,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503926,503926,Harbury Library Cafe,8.675,8.675,8.675,Rankable-B,coverage-partial,True,True,unmatched,[],[]
1388307,1388307,Chrissie's Kitchen,7.645,7.645,7.645,Rankable-B,coverage-ready,True,True,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=788, r=5""}]"
503772,503772,McDonald's,8.422,8.422,8.422,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503478,503478,Starbucks,8.711,8.711,8.711,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1800191,1800191,Chapter 23,8.772,8.772,8.772,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1774608,1774608,NO4 Bar And Restaurant,9.037,9.037,9.037,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1747700,1747700,The Still House Café,8.098,8.098,8.098,Rankable-B,coverage-ready,True,True,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=752, r=5""}]"
1556368,1556368,Prospero Lounge,9.035,9.035,9.035,Rankable-B,coverage-ready,True,True,unmatched,[],[]
565220,565220,Four Teas,7.595,7.595,7.595,Rankable-B,coverage-ready,True,True,unmatched,[],[]
